City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,lompoc,34.6391,-120.4579,60.6,79,0,15.99,US,1698509647
325,cromer,52.9312,1.2989,55.4,76,55,8.01,GB,1698509648
326,mossel bay,-34.1831,22.146,57.13,62,72,18.25,ZA,1698509648
327,egersund,58.4513,5.9997,43.09,64,70,21.79,NO,1698509649
328,mendi,-6.1761,143.6513,55.17,98,98,2.39,PG,1698509421
329,avarua,-21.2078,-159.775,69.85,73,71,6.91,CK,1698509650
330,poronaysk,49.2167,143.1167,33.28,80,46,5.17,RU,1698509650
331,najran,17.4924,44.1277,74.05,45,100,9.13,SA,1698509650
332,kirakira,-10.4544,161.9205,77.79,87,83,6.2,SB,1698509651
333,itaituba,-4.2761,-55.9836,105.37,21,19,4.99,BR,1698509457
334,oamaru,-45.0784,170.9801,48.38,88,94,3.58,NZ,1698509652
335,talnakh,69.4865,88.3972,2.21,92,81,1.79,RU,1698509652
336,rantoul,40.3084,-88.1559,47.98,76,75,13.8,US,1698509652
337,eenhana,-17.4667,16.3333,96.6,11,86,12.62,NA,1698509653
338,castillos,-34.1667,-53.8333,73.74,66,68,7.14,UY,1698509653
339,canatlan,24.5167,-104.7833,68.4,65,7,4.07,MX,1698509654
340,shushtar,32.0455,48.8567,81.39,25,92,5.66,IR,1698509654
341,rodniki,57.1051,41.7305,27.75,95,100,12.01,RU,1698509654
342,maceio,-9.6658,-35.7353,87.24,54,75,13.8,BR,1698509655
343,shingu,33.7333,135.9833,53.2,78,0,7.4,JP,1698509655
344,sidi akkacha,36.4647,1.3026,77.29,64,60,7.58,DZ,1698509656
345,mildura,-34.2,142.15,56.07,56,0,6.91,AU,1698509656
346,lichtenfels,50.1457,11.0593,53.13,86,100,7.11,DE,1698509657
347,arno,60.1167,18.6333,36.79,68,91,6.93,SE,1698509657
348,suva,-18.1416,178.4415,73.0,88,62,8.63,FJ,1698509657
349,kalianget,-7.05,113.9333,82.27,72,8,11.12,ID,1698509658
350,north fair oaks,37.4744,-122.1966,55.35,80,0,1.01,US,1698509658
351,petropavlovsk-kamchatsky,53.0452,158.6483,37.45,59,0,8.95,RU,1698509659
352,pisco,-13.7,-76.2167,71.65,78,40,11.5,PE,1698509660
353,trino,45.1921,8.2961,63.59,67,31,4.36,IT,1698509660
354,kingston,17.997,-76.7936,89.24,66,20,8.05,JM,1698509661
355,tadine,-21.55,167.8833,71.96,89,3,8.25,NC,1698509661
356,vila do maio,15.1333,-23.2167,86.79,76,87,14.94,CV,1698509662
357,tuban,-6.8976,112.0649,80.28,71,8,9.55,ID,1698509662
358,christiansburg,37.1298,-80.4089,77.83,65,3,7.14,US,1698509662
359,red hill,33.9996,-79.2581,80.91,67,0,5.26,US,1698509663
360,harper,4.375,-7.7169,81.95,74,55,9.6,LR,1698509363
361,san clemente del tuyu,-36.3569,-56.7235,72.99,71,2,11.61,AR,1698509664
362,arauca,7.0847,-70.7591,86.49,69,80,4.07,CO,1698509588
